species,paper_title,title_abstract,hosts_natural,hosts_experimental,hosts_not_in_text,hosts_not_in_text_corrected
Amblyospora dolosi (1),Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae),"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",Culex dolosus; Metacyclops mendocinus,NA,Metacyclops mendocinus,NA
Amblyospora dyxenoides (1),Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods,Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods,Culex annulirostris; Mesocyclops sp.; Mesocyclops albicans,NA,Culex annulirostris; Mesocyclops sp.; Mesocyclops albicans,NA
Amblyospora excrucii,Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes ::: The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Aedes excrucians,NA,Aedes excrucians,Aedes excruciates
Amblyospora firma,New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Aedes punctor,NA,Aedes punctor,punctor
Amblyospora flavescens,Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia ::: Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,NA,Aedes sp.; Culex sp.,NA
Amblyospora hristinia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus communis,NA,Ochlerotatus communis,NA
Amblyospora indicola (1),Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods,Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods,Culex sitiens; Apocyclops sp.,NA,Culex sitiens; Apocyclops sp.,NA
Amblyospora jurginia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus excrucians,NA,Ochlerotatus excrucians,NA
Amblyospora kazankia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus dianaetus,NA,Ochlerotatus dianaetus,NA
Amblyospora kolarovi,Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia ::: Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,NA,Aedes sp.; Culex sp.,NA
Amblyospora macrococcus,"THE ULTRASTRUCTURE OF 2 MICROSPORIDIAN SPECIES OF THE GENUS AMBLYOSPORA (MICROSPORIDIA, AMBLYOSPORIDAE) FROM THE MIDGE LARVAE (DIPTERA, CHIRONOMIDAE)","THE ULTRASTRUCTURE OF 2 MICROSPORIDIAN SPECIES OF THE GENUS AMBLYOSPORA (MICROSPORIDIA, AMBLYOSPORIDAE) FROM THE MIDGE LARVAE (DIPTERA, CHIRONOMIDAE) ::: The ultrastructure of Amblyospora macrococcus Voronin n. comb. (syn. Thelohania macrococcus Voronin, 1979) from the fat body cells of Corynoneura larvae, and that Amblyospora sp. from the fat body cells of Cricotopus ex gr. silvestris larvae are described. Only octosporous development was observed. The polaroplast of A. macrococcus is composed of two different lamellar regions; the polar filament consists of 3 anterior wider coils and 4-5 posterior narrower coils. The polaroplast of Amblyospora sp. has a uniform lamellar construction and the polar filament consists of 4 anterior wider coils and 6-7 posterior narrower coils. The spore wall organization of A. macrococcus is similar to that of Amblyospora sp. and is corresponding to the typical features of the genus Amblyospora.",Corynoneura sp.,NA,Corynoneura sp.,Corynoneura
