"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Tuzetia sp. 1",1972,"Macrocyclops albidus",,,,,,5,2.5,16.36246174,"ovoid","France (Issanka)",1,,,,,,,,,,"Tuzetia sp. M., F., M. & F., 1972, Bull. Soc. Zool. Fr., 97, 710, Pl. 1-Fig. 1, Pl. 2-Fig. 6"
,"Tuzetia sp. 2",,"Dapnia magna",,,,,"vertical",,,,,,,,,,,,,,,,"Mangin KL, Lipsitch M, Ebert D. Virulence and transmission modes of two microsporidia in Daphnia magna. Parasitol. 1995;111:133–42."
,"Tuzetia tschernischovae",1986,"Daphnia cucullata",,,,"Fat body","horizontal",4.2,2,8.79645943,"Elongated-oval","Russia",,,,,106.8141502,"16-18",17,,,,
,"Tuzetia weidneri",2002,"Litopenaeus setiferus (1); Farfantepenaeus azectus (2)",,,,"muscle (1;2)","horizontal","3.75 um (fresh); 2.7 um (fixed)","2.3 um (fresh); 1.65 um (fixed)","10.3868907109313 (fresh)","pyriform","USA (MS)",1,,,,"70.4502152567511 (fresh)","9-10.5",9.75,,,,"1. Canning EU, Curry A, Overstreet RM. Ultrastructure of Tuzetia weidneri sp. n. (Microsporidia: Tuzetiidae) in skeletal muscle of Litopenaeus setiferus and Farfantepenaeus aztecus (Crustacea: Decapoda) and new data on Perezia nelsoni (Microsporidia: Pereziidae) in L. setiferus. Acta Protozool. 2002;41:63–77. 
 2. Cheney SA, Lafranchi-Tristem NJ, Canning EU. Phylogenetic relationships of Pleistophora-like microsporidia based on small subunit ribosomal DNA sequences and implications for the source of trachipleistophora hominis infections. J Eukaryot Microbiol. 2000;47:280–7."
,"Unikaryon allocreadii","1977; 1997","Allocreadium fasciatusi",,,"adult","parenchyma","horizontal","3.5 ± 0.3 (fresh)","2.7 ± 0.2 (fresh)","13.3596227593906 (fresh)","ovoid","India (Andhra Pradesh)",1,"30 (max)",,,"38.170350741116 (fresh)","4 - 5",4.5,,,,"1. Canning EU, Madhavi R. Studies on two new species of Microsporida hyperparasitic in adult Allocreadium fasciatusi (Trematoda, Allocreadiidae). Parasitology. 1977;75:293–300.
 2. Sene A, Ba C, Marchand B, Toguebaye B. Ultrastructure of Unikaryon nomimoscolexi n. sp. (Microsporida, Unikaryonidae), a parasite of Nomimoscolex sp. (Cestoda, Proteocephalidea) from the gut of Clarotes laticeps (Pisces, Teleostei, Bagridae). Dis Aquat Org. 1997;29:35–40."
,"Unikaryon euzeti",1987,"Mylabris vestita",,,"adult","gut; adipose tissue; Malpighian tubules; muscles","horizontal",2.22,1.38,2.213654148,"ovoid","West Africa",1,,,,34.6831829,2022-07-09,8,,,,"Toguebaye, Bhen S., and Bernard Marchand. “Cytologie et taxonomie d’une microsporidie du genre Unikaryon (Microspora, Unikaryonidae) parasite du Mylabris vestita (Coleoptera, Meloidae).” Canadian Journal of Zoology 66, no. 2 (February 1, 1988): 364–367. https://doi.org/10.1139/z88-053."
,"Unikaryon ixodis","1957; 1999","Ixodes ricinus",,,"adult; nymph","hemocytes; fat body; midgut; salivary glands; testes; tracheal matrix; gut wall","both","2.55 (more elongated type); 1.8 (shorter type)","1.5 (more elongated type); 1.4 (shorter type)","3.00414797499524 (more elongated type); 1.8472564803108 (shorter type)",,"Slovakia (Velkrop); Hungary (near Csonge); Czech Republic (vicinity of Koloeje)","1 (more elongate type, from figures); 1 (shorter type, from figures)",,,,,,"6 (mature spore, unclear spore class); 4 (early spore, unclear spore class)",,,,"1. Nosema ixodis Weiser, 1957, Cesk. Parasitol., 4, 357, 358, Fig. Ib, lc
 2. Encephalitozoon ixodis (Weiser, 1957) Weiser & Rehacek, 1975, J. Invertebr. Pathol., 26, 411.
 3. Weiser J, Rehacek J, Zizka Z, Ciampor F, Kocianova E. Nosema slovaca Weiser et Rehacek, 1975 and Unikaryon ixodis (Weiser, 1957) comb. n. in ixodid ticks. Acta Parasitologica. 1999;44:99–107."
,"Unikaryon legeri","1897; 1974; 1997","Brachycoelium sp.; Tellina fabula; T. tenuis; T. solidula; Gymnophallus somateriae var. strigatus; Meigymnophallus minutus",,,,"parenchyma","horizontal","3.51(fresh); 2.9(stained)","1.92(fresh); 1.66(stained)","6.77498278754315 (fresh)","Bacculiform; ovoid","France",1,,,,,,,"KX364285",,,"1. Glugeidees Giard, 1897, C. R. Soc. BioI., 4, 957
 2. Pleistophora sp. Leger, 1897, C. R. Soc. Biol., 4, 957
 3. Nosema legeri Dollfus, 1912, Mem. Soc. Zool. Fr., 25, 129, Figs. 7, 8. Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 102, Fig. 150. Dollfus, 1946, in ""Encyclopedie Biologique"" (P. Lechevalier, ed.), p. 17, Figs. 4-6
 4. Unikaryon legeri (Dollfus, 1912) C. & N., 1974, J. Invertebr. Pathol., 23, 93, Figs. 1-22
 5. Sene A, Ba C, Marchand B, Toguebaye B. Ultrastructure of Unikaryon nomimoscolexi n. sp. (Microsporida, Unikaryonidae), a parasite of Nomimoscolex sp. (Cestoda, Proteocephalidea) from the gut of Clarotes laticeps (Pisces, Teleostei, Bagridae). Dis Aquat Org. 1997;29:35–40."
,"Unikaryon matteii",1984,"Nisotra sp.",,,,,,3.72,1.96,7.48262025,"Oval","Senegal",1,,,,52.33893361,2022-05-12,8.5,,,,"Toguebaye, Bhen Sikina, and Bernard Marchand. “Etude Ultrastructurale de Unikaryon matteii n. sp. (Microsporida, Unikaryonidae) Parasite de Nisotra sp. (Coleoptera, Chrysomelidae) et Remarques sur la Validité de Certaines Nosema d’Insectes.” The Journal of Protozoology 31, no. 2 (May 1984): 339–46. https://doi.org/10.1111/j.1550-7408.1984.tb02973.x."
,"Unikaryon moniezi","1977; 1999","Eucyclops macrurus",,,,"fat body","horizontal",4.4,2.1,10.15991064,"ellipsoidal","Russia (Lake Vrevo)",1,"75 (max)",,,,,,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Unikaryon montanum",1998,"Ips typographus",,,"adult","fat body; Malpighian tubules; muscle; ovaries","both","2 (type 1); 1.5 (type 2)","0.9 (type 1); 1.0 (type 2)","0.848230016469244 (type 1); 0.785398163397448 (type 2)","elongate-oval (type 1); broad oval (type 2)","Germany, Austria, Czech Republic","1 (type 1); 1 (type 2)",,,,"22.6194671058465 (type 1); 17.2787595947439 (type 2)","5-6 (type 2)","8 (type 1); 5.5 (type 2)",,,,"Weiser, Jaroslav, and Rudolf Wegensteiner. “Unikaryon Montanum Sp. n. (Protista: Microspora), a New Pathogen of the Spruce Bark Beetle, Ips Typographus (Coleoptera: Scolytidae),” n.d., 5."
,"Unikaryon nomimoscolexi",1997,"Nomimoscolex sp. (in Clarotes laticeps)",,,"adult","parenchymal cells","horizontal","3.43 ± 0.4 (fixed)","1.51 ± 0.18 (fixed)","4.09493145906897 (fixed)","ovoid","Senegal (Lake Guiers)",1,,,,"33.2066343484441 (fixed)","6 - 8",7,,,,"Sene A, Ba C, Marchand B, Toguebaye B. Ultrastructure of Unikaryon nomimoscolexi n. sp. (Microsporida, Unikaryonidae), a parasite of Nomimoscolex sp. (Cestoda, Proteocephalidea) from the gut of Clarotes laticeps (Pisces, Teleostei, Bagridae). Dis Aquat Org. 1997;29:35–40."
,"Unikaryon oulemi",1998,"Oulema melanopus",,,"imagoes","midgut","horizontal",2.8,1.3,2.477669406,"cylindrical","Russia",1,,,,49.0088454,"11.5-12.5",12,,,,"Krylova, S V, E V Morzhina, Yu Ya Sokolova, and I.V. Issi. “MICROSPORIDIOSIS OF THE CEREAL LEAF BEETLE OULEMA MELANOPUS (COLEOPTERA),” n.d., 8."
,"Unikaryon pfeifferi","1977; 1999","Acanthocyclops viridis",,,,"fat body","horizontal",3.5,1.6,4.691445029,"elongated-oval","Russia (Lake Vrevo)",1,,,,60.31857895,,12,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Unikaryon phyllotretae","2005; 2010","Phyllotreta undulata",,,,"Malphigian","horizontal","2.74 ± 0.17 um (c1, fresh); 4.39 ± 0.18 um (c2, fresh)","1.93 (c1); 1.61 (c2)","5.34396743707952 (c1, fresh); 5.95819749554246 (c2, fresh)","spherical; oval (c1); elongated (c2)","Turkey","1 (c1); 1 (c2)",,,,"42.4429167499981 (c1); 35.405749205957 (c2)","6-8 (c1, c2)","7 (c1); 7 (c2)",,,,"1. Yaman M, Radek R. A new microsporidian parasite record of Phyllotreta undulata (Chrysomelidae, Coleoptera). Turk J Zool. 2005;29:67–9.
 2. Yaman M, Radek R, Weiser J, Toguebaye BS. Unikaryon phyllotretae sp. n. (Protista, Microspora), a new microsporidian pathogen of Phyllotreta undulata (Coleoptera; Chrysomelidae). Eur J Protistol. Elsevier; 2010;46:10–6
 3. Yaman M, Radek R, Weiser J, Toguebaye BS. Unikaryon phyllotretae sp. n. (Protista, Microspora), a new microsporidian pathogen of Phyllotreta undulata (Coleoptera; Chrysomelidae). European Journal of Protistology. Elsevier; 2010;46:10–6."
,"Unikaryon piriformis","1974; 1997","Echinoparyphium dunni; Echinostoma audyi; Lymnaea rubiginosa; Echinoparyphium hystricosum",,,"redia; cercaria","parenchyma tissue","horizontal","3.8 (fresh)","2.7 (fresh)","14.5047332816241 (fresh)","pyriform","West Malaysia (Negri Sembilan).",1,"150 (max)",,,"59.3761011528471 (fresh)","6 - 8",7,,,,"1. Unikaryon pyriformis C., L. & L., 1974, J. Protozool., 21, 21, Figs. 1-15.
 2. Sene A, Ba C, Marchand B, Toguebaye B. Ultrastructure of Unikaryon nomimoscolexi n. sp. (Microsporida, Unikaryonidae), a parasite of Nomimoscolex sp. (Cestoda, Proteocephalidea) from the gut of Clarotes laticeps (Pisces, Teleostei, Bagridae). Dis Aquat Org. 1997;29:35–40."
,"Unikaryon polygraphi",2002,"Polygraphus poligraphus",,,"adult","midgut muscles; Malpighian tubules","horizontal",2.75,1.25,2.249838489,"oval","Austria",1,,,,23.5619449,2022-05-07,6,,,,"Weiser, J., U. Handel, R. Wegensteiner, and Z. Zizka. “Unikaryon Polygraphi Sp.n. (Protista, Microspora): A New Pathogen of the Four-Eyed Spruce Bark Beetle Polygraphus Poligraphus (Col., Scolytidae).” Journal of Applied Entomology 126, no. 2–3 (April 2002): 148–154. https://doi.org/10.1046/j.1439-0418.2002.00617.x."
,"Unikaryon slaptonleyi","1983; 1997","Echinoparyphium recurratum",,,,,,"5.01 ± 0.2 (fresh); 4.6 ± 0.3 (fixed)","2.8 ± 0.1 (fresh); 2.7 ± 0.2 (fixed)","20.5661221474602 (fresh)","pyriform",,,,,,"167.132729170977 (fresh)","17 - 21",19,,,,"Sene A, Ba C, Marchand B, Toguebaye B. Ultrastructure of Unikaryon nomimoscolexi n. sp. (Microsporida, Unikaryonidae), a parasite of Nomimoscolex sp. (Cestoda, Proteocephalidea) from the gut of Clarotes laticeps (Pisces, Teleostei, Bagridae). Dis Aquat Org. 1997;29:35–40."
,"Unikaryon vrevi",1999,"Macrocyclops distinctus",,,,"fat body","horizontal",3,0.7,0.7696902001,"short-cylindrical","Russia (Lake Vrevo)",1,,,,14.29424657,"6 - 7",6.5,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Unnamed Canningia sp.",2008,"Otiorynchus sulcatus",,,,,,,,,,"USA (OR)",,,,,,,,"EU589246",,,"1. Bruck DJ, Solter LF, Lake A. Effects of a novel microsporidium on the black vine weevil, Otiorhynchus sulcatus (F.) (Coleoptera: Curculionidae). J Invertebr Pathol. Elsevier Science; 2008;98:351–5."
,"Unnamed Enterocytozoon sp.",2000,"Pleuronectes vetulus",,,,,,,,,,"USA (WA)",,,,,,,,"AF201911",,,"1. Khattra JS, Gresoviac SJ, Kent ML, Myers MS, Hedrick RP, Devlin RH. Molecular Detection and Phylogenetic Placement of a Microsporidian from English Sole (Pleuronectes vetulus) Affected by X-Cell Pseudotumors. J Parasitol. 2000;86:867–71."
,"Unnamed Enterospora sp.",2007,"Eupagurus bernhardus",,,,"epithelium","horizontal","1.4 ± 19.7 um","0.7 ± 11.5 um",0.3591887601,,"England",1,,,,9.896016859,2022-04-05,4.5,,,,"1. Stentiford GD, Bateman KS. Enterospora sp., an intranuclear microsporidian infection of hermit crab Eupagurus bernhardus. Dis Aquat Org. Oldendorf Luhe: Inter-Research; 2007;75:73–8."
,"unnamed microspordium in bearded dragons",1998,"Pogona vitticeps",,,,"liver; kidney epithelium; lungs; small intestine; brain (ventricular ependymal cells); capillary endothelial cells; stomach epithelium; adrenal glands; ovary","both","2.2 (fixed and stained)","1.875 (fixed and stained)","4.04970928001809 (fixed and stained)","oval",,1,,,,"35.3429173528852 (fixed and stained)",,6,,,,"Jacobson ER, Green DE, Undeen AH, Cranfield M, Vaughn KL. Systemic microsporidiosis in inland bearded dragons (Pogona vitticeps). J Zoo Wildl Med. 1998;29:315–23."
,"Unnamed Microsporidia sp. 1",2000,"Halammohydra intermedia",,,,"epidermal; endodermal","horizontal","1.7 um","0.95 um",0.8033314215,"oval","Norway",,18,15,16.5,14.9225651,2022-04-06,5,,,,"1. Clausen C. Light and ultrastructural observations on a microsporidium in the hydrozoan Halammohydra intermedia (Cnidaria). Sarsia. Taylor & Francis; 2000;85:177–80."
,"Unnamed Microsporidia sp. 2",2003,"Dioryctria amatella",,,,"Malphigian; silk gland; adipose; midgut; epidermal","horizontal","5.87 um (fresh)","2.85 um (fresh)","24.9647052916595 (fresh)","oval","USA (AL, GA, SC, FL, VA)",2,,,,"120.872777346867 (fresh)","13-14",13.5,,,,"1. Mihelcic N, Hanula JL, Debarr GL. Pathogenic microorganisms associated with the Southern pine coneworm (Lepidoptera : Pyralidae) attacking loblolly pine. Fla Entomol. Florida Entomological Society; 2003;86:1–7."
,"Unnamed Microsporidia sp. 3",2004,"Fenneropenaeus indicus (1); Penaeus semisulcatus (2)",,,,"muscle (1;2)","horizontal","2.6 um","1.6 um",3.48507345,"oval","Madagascar",,,,,,,,,,,"1. Toubiana M, Guelorget O, Bouchereau JL, Lucien-Brun H, Marques A. Microsporidians in penaeid shrimp along the west coast of Madagascar. Dis Aquat Org. Oldendorf Luhe: Inter-Research; 2004;58:79–82."
,"Unnamed Microsporidia sp. 4",2004,"Penaeus monodon",,,,"muscle","horizontal","1.4 um","1.1 um",0.8869763259,"globular; ovoid","Madagascar",,,,,,,,,,,"1. Toubiana M, Guelorget O, Bouchereau JL, Lucien-Brun H, Marques A. Microsporidians in penaeid shrimp along the west coast of Madagascar. Dis Aquat Org. Oldendorf Luhe: Inter-Research; 2004;58:79–82."
,"Unnamed Microsporidia sp. A",2000,"Phytoseiulus persimilis",,,,"egg; intestinal; nervous; dermal; muscle","both","2.88 ± 0.14 um","1.21 ± 0.03 um",2.207810786,"oval","North America",1,,,,32.31128044,2022-07-10,8.5,,,,"1. Bjornson S, Keddie BA. Development and pathology of two undescribed species of microsporidia infecting the predatory mite, Phytoseiulus persimilis Athias-Henrio. J Invertebr Pathol. 2000;76:293–300."
,"Unnamed Microsporidia sp. B",2000,"Phytoseiulus persimilis",,,,"egg; ovarian; intestinal","both","2.65 ± 0.23 um","1.21 ± 0.07 um",2.031492563,"oval","Israel",1,,,,11.40398133,2022-02-04,3,,,,"1. Bjornson S, Keddie BA. Development and pathology of two undescribed species of microsporidia infecting the predatory mite, Phytoseiulus persimilis Athias-Henrio. J Invertebr Pathol. 2000;76:293–300."
,"Unnamed Microsporidia sp. NIK-5hm",2009,"Bombyx mori",,,,,"vertical","4.58 ± 0.009 um","2.10 ± 0.01 um",10.57554335,"ovocylindrical","India",2,,,,79.16813487,12,12,,,,"1. Selvakumar T, Nataraju B, Balavenkatasubbaiah M, Sharma SD, Chandrasekharan K, Rao PS. Characterization of new microsporidian Sp., NIK-5hm which cause pebrine disease in the Silkworm, Bombyx moril. Indian J Seric. 2009;48:88–90."
,"unnamed microsporidium (possibly Tricornia muhezae or Merocinta davidii)",1993,"Mesocyclops rarus",,,"adult females; individuals smaller than females and without egg sacs","around centre of animal","horizontal","8.9 ± 0.5 (type 1, fixed and stained); 15 ± 0.3 (type 2, fixed and stained)","3.9 ± 0.3 (type 1, fixed and stained); 6.3 ± 0.1 (type 2, fixed and stained)","70.8790426539661 (type 1, fixed and stained); 311.724531052447 (type 2, fixed and stained)","pyriform","Tanzania (5° 11', 38° 5' E, Muheza Sisal Estate Swamp, Mamakingi Pond)",,"245.04 (type 1, max); 395.84 (type 2, max)",,,,"<=20",,,,,"Pell JK, Canning EU. Light Microscope and Ultrastructural Observations of a Microsporidian Parasite of Mesocyclops rarus (Copepoda: Cyclopoida) in Tanzania. J Invertebr Pathol. 1993;61:275–80."
,"unnamed microsporidium 1",1992,"Pseudodiplorchis americanus (parasite of Scaphiopus couchii)",,,"adult; larva","tegument (primary site); ovary; vitelline follicles/ducts; uterus wall; developing egg capsules; parenchyma; gland cells; sensory bulbs of uniciliate receptors; protonephridial canals; supportive cup of photoreceptors; gut","both",2,1,1.047197551,"oval","U.S.A. (San Simon valley, Arizona)",,,,,,,,,,,"Cable J, Tinsley RC. Microsporidian hyperparasites and bacteria associated with Pseudodiplorchis americanus (Monogenea: Polystomatidae). Can J Zool. 1992;70:523–9."
,"unnamed microsporidium 2",1994,"Martianus dermestoides",,,,,,,,,,"China",,,,,,,,,,,"Wen JZ, Huang H, Fan Y, Ding ZM. [Identification of microsporidian pathogen in Chinese medicinal insect Martianus dermestoides Chevr]. Zhongguo Zhong Yao Za Zhi. 1994;19:15–6, 61."
,"unnamed microsporidium 3",1997,"Gammarus duebeni",,,"adult (females); juveniles","ovary (in adult females); cells underneath cuticle (in juvenile)","both","3.78 ± 0.15","1.22 ± 0.045",2.945846299,"cylindrical","Scotland (Isle of Cumbrae)",2,,,,11.49822911,,3,,,,"Terry RS, Dunn AM, Smith JE. Cellular distribution of a feminizing microsporidian parasite: a strategy for transovarial transmission. Parasitol. 1997;115:157–63."
,"unnamed microsporidium in a parrot",1999,"Amazona ochrocephala oratrix",,,,"eye","horizontal",1.5,1.5,1.767145868,"spherical",,,,,,,,,,,,"Canny CJ, Ward DA, Patton S, Orosz SE. Microsporidian keratoconjunctivitis in a double yellow-headed amazon parrot (Amazona ochrocephala oratrix). J Avian Med Surg [Internet]. [cited 2020 May 26]; Available from: https://www-scopus-com.myaccess.library.utoronto.ca/record/display.uri?eid=2-s2.0-0003120485&origin=resultslist&sort=plf-f&src=s&st1=microsporidia+OR+microsporidium&st2=&sid=b4b2944084b7b89d892fa1a3f40bad86&sot=b&sdt=b&sl=65&s=TITLE-ABS-KEY%28microsporidia+OR+microsporidium%29+AND+PUBYEAR+%3d+1999&relpos=3&citeCnt=23&searchTerm="
,"unnamed microsporidium in Acrida turrita",1993,"Acrida turrita",,,"adult","testes (in cyst wall cell)","vertical","2.7 (fixed and stained)","1.4 (fixed and stained)","2.7708847204662 (fixed and stained)","round; long-ovoid","Republic of Benin (Porto-Novo)",1,,,,"10.9955742875643 (fixed and stained)","2 - 3",2.5,,,,"Moutairou K, Schwab-Stey H, Werner K, Werner G. Microsporidia in Testicular Cells of Acrida turrita L. (Orthoptera: Acrididae). J Invertebr Pathol. 1993;61:1–5."
,"unnamed microsporidium in Agapornis roseicollis",1978,"Agapornis roseicollis",,,,"liver (hepatocytes, bile ducts); kidney (renal tubules); intestines (small intestinal epithelium)","horizontal","1.7 (stained)","1.3 (stained)","1.50429928229391 (stained)",,"U.S.A. (Maryland?)",,,,,,,,,,,"Novilla MN. Microsporidian infection in the pied peach-faced lovebird (Agapornis roseicollis). Avian Dis. 1978;22:198–204."
,"unnamed microsporidium in gastrotrich",1999,"Turbanella lutheri",,,"adult","intestines","horizontal","1.55 (fixed and stained)","0.9 (fixed and stained)","0.657378262763664 (fixed and stained)","oval; ellipsoid","Russia (Sredny Island)",1,,,,"12.7234502470387 (fixed and stained)","4 - 5",4.5,,,,"Manylov OG. First finding of a microsporidian parasite in the gastrotrich, Turbanella lutheri (Gastrotricha: Macrodasyida). Protistology. 1999;1:17–9."
,"Unnamed Microsporidium sp. C81 (Microsporidium sp. C81)",2007,"Corophium volutator",,,,"ovarian","vertical",,,,,"Canada (NS)",,,,,,,,"DQ521753",,,"1. MAUTNER SI, COOK KA, FORBES MR, McCURDY DG, DUNN AM. Evidence for sex ratio distortion by a new microsporidian parasite of a Corophiid amphipod. Parasitol. Cambridge University Press; 2007;134:1567–73. 
 2. Short S, Guler Y, Yang G, Kille P, Ford AT. Paramyxean–microsporidian co-infection in amphipods: Is the consensus that Microsporidia can feminise their hosts presumptive? Int J Parasitol. Elsevier; 2012;42:683–91."
,"Unnamed Microsporidium sp. SH (Microsporidium sp. SH)",2008,"Verasper variegatus",,,,"muscle","horizontal","3.07 um","2.13 um",7.292831925,"oval; pyriform","Japan",,,,,,,,"EU871680",,,"1. Yokoyama H, Yokoyama F, Zhang J-Y, Tsuruoka K, Ogawa K. Microsporidian infection in the trunk muscle of hatchery-bred juvenile spotted halibut Verasper variegatus. Fish Pathol. 2008;43:137-143+1p."
,"Encephalitozoon sp. 7",1992,"Homo sapiens",,,,"jejunal enterocytes; distal duodenal enterocytes; macrophages (in lamina propria through muscularis mucosae into submucosa of small intestine tract)","horizontal","2.2 (fixed and embedded in Spurr's epoxy)","1.2 (fixed and embedded in Spurr's epoxy)","1.65876092109541 (fixed and embedded in Spurr's epoxy)","ellpitical",,1,,,,"22.6194671058465 (fixed and embedded in Spurr's epoxy)",,6,,,,"Orenstein JM, Tenner M, Cali A, Kotler DP. A microsporidian previously undescribed in homo sapiens, infecting enterocytes and macrophages, and associated with diarrhea in an acquired immunodeficiency syndrome patient. Hum Pathol. 1992;23:722–8."
,"Unnamed Nosema sp. (possibly Endoreticulatus schubergi)",2002,"Euprocitis chrysorrhoea",,,,"adipose; silk gland","horizontal","4.42 um (fresh)","1.88 um (fresh)","8.17968520513785 (fresh)","oval","Bulgaria",2,,,,"56.1088447931137 (fresh)",2022-09-10,9.5,,,,"1. Pilarska D, Linde A, Solter LF, Takov D, McManus ML, Goertz D. Ultrastructure characteristic of a Nosema sp. (Microsporidia) from a Bulgarian population of Euproctis chrysorrhoea L. (Lepidoptera). Acta Parasitol. 2002;47:1–5. 
 2. Hylis M, Pilarska DK, Obornik M, Vavra J, Solter LF, Weiser J, et al. Nosema chrysorrhoeae n. sp. (Microsporidia), isolated from browntail moth (Euproctis chrysorrhoea L.) (Lepidoptera, Lymantriidae) in Bulgaria: Characterization and phylogenetic relationships. J Invertebr Pathol. Elsevier Science; 2006;91:105–14.
 3. Pilarska D, Takov D, Hyliš M, Radek R, Fiala I, Solter L, et al. Natural occurrence of microsporidia infecting Lepidoptera in Bulgaria. Acta Parasitol. 2017;62:858–69."
,"Unnamed Nosema sp. 1",2000,"Antheraea mylitta",,,,,,,,,,"India",,,,,,,,,,,"1. Hatakeyama Y, Bansal AK, Iwano H, Kawakami Y, Ishihara R. Characterization of SSUrRNA sequence of a new microsporidium Nosema sp. (Nosematidae: Microsporidia), isolated from Antheraea mylitta Drury (Lepidoptera: Saturniidae) in India. Indian J Seric. Hatakeyama, Yoshinori; Laboratory of Silkworm Pathology, Department of Sericulture, National Institute of Sericulture and Entomology Science, 1-2 Owashi, Tsukuba, Ibaraki, 305-8634, Japan; 2000;39:131–4."
,"Unnamed Nosema sp. 2",2002,"Pieris rapae",,,,,"vertical",,,,,"Korea",,,,,,12,12,,,,"1. Choi JY, Kim JG, Choi YC, Goo TW, Chang JH, Je YH, et al. Nosema sp. isolated from cabbage white butterfly (Pieris rapae) collected in Korea. Journal of Microbiology. 2002;40:199–204. 
 2. Yaman M, Bekircan C, Radek R, Linde A. Nosema pieriae sp. n. (Microsporida, Nosematidae): A new microsporidian pathogen of the cabbage butterfly Pieris brassicae L. (Lepidoptera: Pieridae). Acta Protozool. 2014;53:223–32."
,"Unnamed Nosema sp. 3",2006,"Spodoptera litura",,,,"midgut; nervous; muscle; labial glands; gonadal; epidermal; tracheae; Malphigian; adipose","both","3.91 ± 0.0123 um (fresh)","1.91 ± 0.0143 um (fresh)","7.4686501106472 (fresh)","ovocylindrical","India",2,,,90,,,,"DQ323510",,,"1. Johny S, Kanginakudru S, Muralirangan MC, Nagaraju J. Morphological and molecular characterization of a new microsporidian (Protozoa: Microsporidia) isolated from Spodoptera litura (Fabricius) (Lepidoptera: Noctuidae). Parasitol. Cambridge University Press; 2006;132:803–14."
,"Unnamed Nosema sp. 506",2000,"Diatraea grandiosella (1); Ostrinia nubilalis (2); Diatraea crambidoides (3)",,,,"egg; ovarian","vertical","3.2 um","2.05 um",7.041356334,"ellipsoid","USA (MS)",,,,,70.84291434,11,11,,,,"1. Inglis GD, Lawrence AM, Davis FM. Pathogens Associated with Southwestern Corn Borers and Southern Corn Stalk Borers (Lepidoptera: Crambidae). J Econ Entomol. Oxford Academic; 2000;93:1619–26. 
 2. Inglis GD, Lawrence AM, Davis FM. Impact of a Novel Species of Nosema on the Southwestern Corn Borer (Lepidoptera: Crambidae). J Econ Entomol. Oxford Academic; 2003;96:12–20."
,"Unnamed Pleistophora sp.",2009,"Epinephelus chlorostignei",,,,,,"2.0 ± 0.5 um (fresh)","1.8 ± 0.2 um (fresh)","3.39292006587698 (fresh)","oval; pyriform;
 ellipsoid","Egypt",1,,,,"135.716802635079 (fresh)","20-28",24,,,,"1. Abdel-Ghaffar F, Bashtar A-R, Mehlhorn H, Al-Rasheid K, Al-Olayan E, Koura E, et al. Ultrastructure, development, and host–parasite relationship of a new species of the genus Pleistophora—a microsporidian parasite of the marine fish Epinephelus chlorostignei. Parasitol Res. 2009;106:39–46."
,"Unnamed sp.",1993,"Hypera postica",,,"larva; adult","hindgut; fat body; Malpighian tubules; salivary gland tissue (larva)","both","2.7 ± 0.2","1 ± 0.1",1.413716694,"rod-shaped","U.S.A. (Illinois)",,,,,,,,,,,"Voronin V. The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura. Parazitologiya. 1993;27:148–54."
,"Unnamed Vairimorpha sp.",2003,"Hellula undalis",,,,"midgut; adipose; Malphigian; hypodermal; muscle; gonadal","both","3.56 ± 0.29 um (c1, fixed); 2.44 ± 0.20 um (c2, fixed)","2.18 ± 0.21 um (c1, fixed); 1.64 ± 0.14 um (c2, fixed)","8.85852892330595 (c1, fixed); 3.43618189111201 (c2, fixed)","oval (c1, c2)","Philippines","2 (c1); 1 (c2)",,,,,,,,,,"1. Mewis I, Kleespies RG, Ulrichs C, Schnitzler WH. First detection of a microsporidium in the crucifer pest Hellula undalis (Lepidoptera: Pyralidae)—a possible control agent? Biol Control. Elsevier Science; 2003;26:202–8."
,"Unnamed Vittaforma-like sp.",2003,"Homo sapiens",,,,,,"2.2 um","1.2 um",1.658760921,,"Portugal",,,,,,,,"AY375043",,,"1. Sulaiman IM, Matos O, Lobo ML, Xiao L. Identification of a New Microsporidian Parasite Related to Vittaforma corneae in HIV-Positive and HIV-Negative Patients from Portugal. J Eukaryot Microbiol. 2003;50:586–90."
